,,,Category 5.0 & Segmentation,,,Category 5.0 & Segmentation,,Category 5.0 & Segmentation,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,2. Standard Electric Specs,,,2. Standard Electric Specs,,,2. Standard Electric Specs,,2. Standard Electric Specs,,2. Standard Electric Specs,,2. Standard Electric Specs,,2. Standard Electric Specs,,2. Standard Electric Specs,,,3. Product Dimensions,,3. Product Dimensions,,3. Product Dimensions,,3. Product Dimensions,,5. Packaging & What is included,,5. Packaging & What is included,,5. Packaging & What is included,,5. Packaging & What is included,,5. Packaging & What is included,
SKU,Description,Brand,Family Name,Family Name — in Akeneo,Family Name — in EPREL,Project ID,Project ID — in Akeneo,Replacement of SKU No,Replacement of SKU No — in Akeneo,Supplier Part Number,Supplier Part Number — in Akeneo,Size Cluster,Size Cluster — in Akeneo,Airflow (m³/h) Booster,Airflow (m³/h) Booster — in Akeneo,Airflow (m³/h) Booster — in EPREL,Airflow (m³/h) max,Airflow (m³/h) max — in Akeneo,Airflow (m³/h) max — in EPREL,Airflow (m³/h) min,Airflow (m³/h) min — in Akeneo,Airflow (m³/h) min — in EPREL,Grease Filtering Efficiency,Grease Filtering Efficiency — in Akeneo,Grease Filtering Efficiency — in EPREL,Air Flow Efficiency,Air Flow Efficiency — in Akeneo,Air Flow Efficiency — in EPREL,Lighting Efficiency,Lighting Efficiency — in Akeneo,Lighting Efficiency — in EPREL,Fan speed levels (w/o boosters),Fan speed levels (w/o boosters) — in Akeneo,Boost Levels,Boost Levels — in Akeneo,Noise emission (dB) at Boost level,Noise emission (dB) at Boost level — in Akeneo,Noise emission (dB) at Boost level — in EPREL,Noise emission (dB) at MIN power level,Noise emission (dB) at MIN power level — in Akeneo,Noise emission (dB) at MIN power level — in EPREL,Number of Carbon Filters Needed,Number of Carbon Filters Needed — in Akeneo,Carbon Filter Included?,Carbon Filter Included? — in Akeneo,Grease Filter dishwasher safe?,Grease Filter dishwasher safe? — in Akeneo,Number of filter layers,Number of filter layers — in Akeneo,Duct outlet (mm),Duct outlet (mm) — in Akeneo,Type of built-in work lights,Type of built-in work lights — in Akeneo,Number of built-in work lights,Number of built-in work lights — in Akeneo,Light power (W),Light power (W) — in Akeneo,RGB,RGB — in Akeneo,No. of Available RGB Colors,No. of Available RGB Colors — in Akeneo,Type of Control,Type of Control — in Akeneo,Type of Motor,Type of Motor — in Akeneo,Motor Power,Motor Power — in Akeneo,Exhaust Hose Included?,Exhaust Hose Included? — in Akeneo,Air Cleaning/Purification System?,Air Cleaning/Purification System? — in Akeneo,Odor or Steam Sensor?,Odor or Steam Sensor? — in Akeneo,Chimney Material,Chimney Material — in Akeneo,Height chimney (max),Height chimney (max) — in Akeneo,Height chimney (min),Height chimney (min) — in Akeneo,Auto Shut Off Function/Timer?,Auto Shut Off Function/Timer? — in Akeneo,Power consumption in standby mode (W),Power consumption in standby mode (W) — in Akeneo,Power consumption in standby mode (W) — in EPREL,Main Color,Main Color — in Akeneo,Secondary Color,Secondary Color — in Akeneo,IoT/Smart,IoT/Smart — in Akeneo,Special Attribute 1,Special Attribute 1 — in Akeneo,Special Attribute 2,Special Attribute 2 — in Akeneo,Special Attribute 3,Special Attribute 3 — in Akeneo,Special Attribute 4,Special Attribute 4 — in Akeneo,Special Attribute 5,Special Attribute 5 — in Akeneo,Energy efficiency class,Energy efficiency class — in Akeneo,Energy efficiency class — in EPREL,Annual energy consumption [kWh/year],Annual energy consumption [kWh/year] — in Akeneo,Annual energy consumption [kWh/year] — in EPREL,Voltage Range [V / Hz],Voltage Range [V / Hz] — in Akeneo,Type of plug,Type of plug — in Akeneo,Power cord length [m],Power cord length [m] — in Akeneo,IEC protection class [Schutzklasse],IEC protection class [Schutzklasse] — in Akeneo,Total Power (W),Total Power (W) — in Akeneo,Max Noise Emission [dB],Max Noise Emission [dB] — in Akeneo,Max Noise Emission [dB] — in EPREL,Product Height [cm],Product Height [cm] — in Akeneo,Product Width [cm],Product Width [cm] — in Akeneo,Product Depth [cm],Product Depth [cm] — in Akeneo,Product Weight [kg],Product Weight [kg] — in Akeneo,ISTA Level,ISTA Level — in Akeneo,How Many Boxes? [qty],How Many Boxes? [qty] — in Akeneo,Box 1 - Content [what's inside?],Box 1 - Content [what's inside?] — in Akeneo,Box 2 - Content [what's inside?],Box 2 - Content [what's inside?] — in Akeneo,Box 3 - Content [what's inside?],Box 3 - Content [what's inside?] — in Akeneo
10030822,Madonna 90cm A Class Slv,Klarstein,Madonna,,,,,,,,,90,,,,,624,,,228,,,E,,,A,,,A,,,,,,,,,,45,54.0000 DECIBEL,,,,,,Yes,,,,150,,LED,,,,1.5,,No,,,,Touch,,DC,,75,,Yes,,No,,No,,Stainless Steel,,,,,,Yes,,0.48,,,Silver,,,,No,,,,,,,,,,,,A,,,20,,,220-240 V ~ 50/60 Hz,,Type E/F - 2 pin (German) - Schuko,,,,Class I,,81,,68,,,113,,90,,60,,25,,ISTA 1A,,1,,Hood+Installation kit + Instruction Manual + Exhaust Hose,,,,,
10032301,Barett 35cm A+ Class Slv,Klarstein,Barett,,,,,,,,,35,,,,,557,,,303,,,D,,,C,,,A,,,,,,,,,,62,42.0000 DECIBEL,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Electronic Button,,DC,,75,,No,,No,,No,,,,,,,,Yes,,,,,Silver,,,,No,,,,,,,,,,,,A+,,,16.2,,,220-240 V ~ 50/60 Hz,,No plug,,,,Class I,,77,,72,,,38,,35,,35,,10,,ISTA 1A+,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10032302,Barett 35cm A+ Class Wht,Klarstein,Barett,,,,,,,,,35,,,,,557,,,303,,,D,,,C,,,A,,,,,,,,,,62,42.0000 DECIBEL,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Electronic Button,,DC,,75,,No,,No,,No,,,,,,,,Yes,,,,,White,,,,No,,,,,,,,,,,,A+,,,16.2,,,220-240 V ~ 50/60 Hz,,No plug,,,,Class I,,77,,72,,,38,,35,,35,,10,,ISTA 1A+,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10032303,Barett 35cm A+ Class Blk,Klarstein,Barett,,,,,,,,,35,,,,,522,,,191,,,C,,,B,,,A,,,,,,,,,,42,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Electronic Button,,DC,,75,,No,,No,,No,,,,,,,,Yes,,0.48,,,Black,,,,No,,,,,,,,,,,,A+,,,16.2,,,220-240 V ~ 50/60 Hz,,No plug,,,,Class I,,77,,65,,,38,,35,,35,,10,,ISTA 1A+,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10032579,Tron Ambience Island Extractor Hood,Klarstein,Tron Ambience,,,,,,,,,38,,,,,521,,,365,,,E,,,B,,,E,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stainless Steel,,,,No,,,,,,,,,,,,A,,,37.6,,,220-240V~ / 50Hz,,,,,,,,,,66,,,45,,,,,,15,,,,,,,,,,,
10032902,Valeria 90cm A Class Blk,Klarstein,Valeria,,,,,,,,,90,,,,,642,,,348,,,D,,,A,,,B,,,,,,,78,,,70,,,,,,,Yes,,,,150,,LED,,,,1.5,,No,,,,Touch,,DC,,75,,Yes,,No,,No,,Coated Steel,,,,,,Yes,,0.46,,,Black,,,,No,,,,,,,,,,,,A,,,47.9,,,220-240 V ~ 50/60 Hz,,Type E/F - 2 pin (German) - Schuko,,,,Class I,,81,,78,,,119,,90,,60,,33,,ISTA 1A,,1,,Hood+Installation kit + Instruction Manual + Exhaust Hose,,,,,
10033106,Kronleuchter 60cm A Class Blk,Klarstein,Kronleuchter,,,,,,,,,60,,,,,577,,,402,,,B,,,A,,,A,,,,,,,,,,51,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Touch,,AC,,165,,No,,No,,No,,,,,,,,Yes,,0.01,,,Black,,,,No,,,,,,,,,,,,A,,,36.2,,,220-240 V ~ 50/60 Hz,,Type E/F - 2 pin (German) - Schuko,,1.5,,Class I,,168,,58,,,35,,60,,35,,20,,,,1,,Hood+Installation kit + Instruction Manual,,,,,
10033107,Kronleuchter 60cm A Class Wht,Klarstein,Kronleuchter,,,,,,,,,60,,,,,577,,,402,,,B,,,A,,,A,,,,,,,,,,51,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Touch,,AC,,165,,No,,No,,No,,,,,,,,Yes,,0.01,,,White,,,,No,,,,,,,,,,,,A,,,36.2,,,220-240 V ~ 50/60 Hz,,Type E/F - 2 pin (German) - Schuko,,1.5,,Class I,,168,,58,,,35,,60,,35,,20,,,,1,,Hood+Installation kit + Instruction Manual,,,,,
10033108,Kronleuchter 90cm A Class Blk,Klarstein,Kronleuchter,,,,,,,,,90,,,,,577,,,402,,,C,,,A,,,B,,,,,,,,,,51,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Touch,,AC,,165,,No,,No,,No,,,,,,,,Yes,,0.01,,,Black,,,,No,,,,,,,,,,,,A,,,36.2,,,220-240 V ~ 50/60 Hz,,Type E/F - 2 pin (German) - Schuko,,1.5,,Class I,,168,,58,,,35,,90,,35,,23,,,,1,,Hood+Installation kit + Instruction Manual,,,,,
10033717,Beretta 90cm A+ Class Slv,Klarstein,Beretta,,,,,,,,,35,,,,,519,,,189,,,C,,,B,,,A,,,,,,,,,,42,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Electronic Button,,DC,,75,,Yes,,No,,No,,Stainless Steel,,,,,,No,,0.48,,,Silver,,,,No,,,,,,,,,,,,A+,,,16.3,,,220-240 V ~ 50/60 Hz,,Type E/F - 2 pin (German) - Schuko,,,,Class I,,77,,65,,,118,,35,,35,,17,,ISTA 1A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10033718,Beretta 90cm A+ Class Blk,non-own Brands,Beretta,,,,,,,,,35,,,,,519,,,189,,,C,,,B,,,A,,,,,,,,,,42,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Electronic Button,,DC,,75,,Yes,,No,,No,,Coated Steel,,,,,,No,,0.48,,,Black,,,,No,,,,,,,,,,,,A+,,,16.3,,,220-240 V ~ 50/60 Hz,,Type E/F - 2 pin (German) - Schuko,,,,Class I,,77,,65,,,118,,35,,35,,17,,ISTA 1A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10033719,Beretta 90cm A+ Class Wht,Klarstein,Beretta,,,,,,,,,35,,,,,519,,,189,,,C,,,B,,,A,,,,,,,,,,42,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Electronic Button,,DC,,75,,Yes,,No,,No,,Coated Steel,,,,,,No,,0.48,,,White,,,,No,,,,,,,,,,,,A+,,,16.3,,,220-240 V ~ 50/60 Hz,,Type E/F - 2 pin (German) - Schuko,,,,Class I,,77,,65,,,118,,35,,35,,17,,ISTA 1A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10034213,Tron Ambience 40cm A Class Blk,Klarstein,Tron Ambience,,,,,,,,,,,,,,521,,,365,,,E,,,B,,,E,,,,,,,66,,,60,,,,,,,Yes,,,,150,,LED,,,,,,Yes,,,,Electronic Button,,AC,,165,,No,,No,,No,,,,,,,,No,,,,,Black,,,,No,,,,,,,,,,,,A,,,37.6,,,220-240 V ~ 50/60 Hz,,No plug,,1.5,,Class I,,165,,66,,,42,,38,,38,,22,,,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
